Search,"Potential Match","Customer Email","Website URL",Transactions
Box,"Box-n-Go Storage",seos988@gmail.com,"http://www.boxngo.com ","2015-12-13 07:41:55 - Custom Plan (Content Remarketing Custom Plan)"
"Sol Systems","Solace Systems",larry.neumann@solacesystems.com,,"2016-02-15 15:10:54 - Premium Plus"
"Cambridge Security Seals","Cambridge Security Seals",marketing@cambridgeseals.com,https://www.cambridgeseals.com/,"2016-05-16 19:17:19 - Premium PR
2016-06-01 20:07:26 - Premium PR
2016-03-11 21:20:06 - Premium PR
2016-04-18 20:30:42 - Premium PR"
"Power Supply","Power Supply Electronics",eloizy@plsconsultinginc.com,,"2015-03-13 15:32:28 - Press Release Revisions (5) [10% off]
2016-01-02 14:25:03 - Platinum Plan (2015)
2015-06-30 17:25:02 - Platinum Plan (2015)
2016-05-01 14:25:02 - Platinum Plan (2015)
2015-10-05 14:22:56 - Platinum Plan (2015)
2015-11-03 14:25:02 - Platinum Plan (2015)
2015-04-01 17:25:02 - Platinum Plan (2015)
2016-04-01 14:25:02 - Platinum Plan (2015)
2016-05-31 14:25:02 - Platinum Plan (2015)
2015-05-31 17:25:02 - Platinum Plan (2015)
2016-05-23 15:59:58 - First USA - 5 Newsroom Credits $260 ($52 per newsroom)
2015-12-03 14:25:02 - Platinum Plan (2015)
2016-03-02 14:25:02 - Platinum Plan (2015)
2016-02-01 14:25:02 - Platinum Plan (2015)
2015-05-01 17:30:02 - Platinum Plan (2015)
2016-06-30 14:25:02 - Platinum Plan (2015)
2015-07-30 17:25:03 - Platinum Plan (2015)
2015-03-03 17:20:48 - Platinum Plan (2015)"
Surge,"Surge Connections",mgerster@creativelicenseintl.com,http://surgeconnections.com,"2015-04-29 22:22:47 - Premium PR
2016-01-18 21:35:02 - Custom Plan (CLi Digital Media)
2015-05-07 21:26:25 - Premium PR
2015-03-24 22:37:49 - Premium PR
2015-05-21 23:15:22 - Premium PR
2015-04-20 17:56:48 - Premium PR
2015-05-06 17:30:03 - Premium PR
2015-05-11 19:17:34 - Premium PR
2016-06-27 22:16:01 - Newsroom
2015-05-07 18:47:05 - Premium PR
2015-04-23 18:03:28 - Premium PR
2015-06-10 17:01:35 - Premium PR
2015-04-27 22:35:41 - Premium PR
2015-04-07 18:55:14 - Premium PR
2015-01-24 00:19:50 - Custom Plan (CLi Digital Media)
2015-03-30 23:57:24 - Premium PR
2015-07-24 23:02:22 - Newsroom
2015-04-26 23:27:17 - Premium PR
2015-04-27 23:10:38 - Premium PR
2015-05-07 18:54:19 - Premium PR
2015-06-05 21:07:50 - Newsroom"
Valore,"Valorem Law Group",patrick.lamb@valoremlaw.com,http://www.valoremlaw.com,"2015-09-07 16:37:42 - Premium PR
2015-09-07 16:22:04 - Premium Plus"
ARCA,"Arcadier Pte. Ltd.",carrie@arcadier.com,http://arcadier.com/index.html,"2016-07-05 07:16:37 - Premium Plus"
"Sovereign Health of California","Sovereign Health of California",vibhu@itchimes.com,http://www.sovcal.com,"2015-04-14 15:30:02 - Gold Plan (2015)
2015-01-15 19:03:12 - Premium with PR Newswire
2015-09-09 20:24:51 - Gold Plan (2015)
2015-05-13 21:45:02 - Gold Plan (2015)
2015-01-14 21:42:09 - Gold Plan (2015)
2015-02-18 23:33:25 - Premium with PR Newswire
2015-03-14 21:45:02 - Gold Plan (2015)
2015-06-12 21:45:02 - Gold Plan (2015)
2015-02-12 21:45:02 - Gold Plan (2015)
2015-10-09 19:08:46 - Premium with PR Newswire
2015-01-15 18:56:56 - Premium with PR Newswire"
"Hourglass Angel","Hourglass Angel",jessica@janicemccaffertypr.com,http://www.hourglassangel.com,"2015-11-23 21:21:56 - Premium PR"
"Today's Growth Consultant","Today's Growth Consultant",allen@todaysgrowth.com,,"2015-12-06 15:00:02 - Gold Plan (2015)
2015-09-08 14:59:03 - Gold Plan (2015)
2015-11-06 15:00:02 - Gold Plan (2015)
2016-07-03 15:00:02 - Gold Plan (2015)
2016-04-04 15:00:02 - Gold Plan (2015)
2016-03-05 15:00:02 - Gold Plan (2015)
2016-01-05 15:00:03 - Gold Plan (2015)
2016-06-03 15:00:02 - Gold Plan (2015)
2016-05-04 15:00:02 - Gold Plan (2015)
2016-02-04 15:00:02 - Gold Plan (2015)
2015-10-07 15:00:02 - Gold Plan (2015)"
180,180fusion,seo@180fusion.com,,"2015-03-18 22:09:10 - Premium with PR Newswire
2015-04-08 15:33:40 - Premium with PR Newswire
2015-03-18 22:12:17 - Premium PR
2015-04-03 18:31:57 - Premium PR"
"Internet Marketing","Internet Marketing Company LLC",gurhan@internetmarketingcompanyllc.com,http://internetmarketingcompanyllc.com/,"2014-12-08 12:05:02 - Silver Plan (2015)
2014-08-07 15:44:53 - Premium PR
2014-10-09 12:05:02 - Silver Plan (2015)
2014-08-11 12:01:37 - Silver Plan (2015)
2015-01-07 12:05:02 - Silver Plan (2015)
2014-11-08 12:05:03 - Silver Plan (2015)
2014-09-09 12:15:01 - Silver Plan (2015)"
"Defense Point Security","Defense Point Security",pr@defpoint.com,http://defpoint.com,"2016-06-15 15:39:03 - Premium PR
2016-05-24 21:05:39 - Premium Plus
2016-06-17 13:44:22 - Premium Plus"
Vert,"Vertigo Marketing Group",mgerster@creativelicenseintl.com,http://vertigomarketinggroup.com,"2015-04-29 22:22:47 - Premium PR
2016-01-18 21:35:02 - Custom Plan (CLi Digital Media)
2015-05-07 21:26:25 - Premium PR
2015-03-24 22:37:49 - Premium PR
2015-05-21 23:15:22 - Premium PR
2015-04-20 17:56:48 - Premium PR
2015-05-06 17:30:03 - Premium PR
2015-05-11 19:17:34 - Premium PR
2016-06-27 22:16:01 - Newsroom
2015-05-07 18:47:05 - Premium PR
2015-04-23 18:03:28 - Premium PR
2015-06-10 17:01:35 - Premium PR
2015-04-27 22:35:41 - Premium PR
2015-04-07 18:55:14 - Premium PR
2015-01-24 00:19:50 - Custom Plan (CLi Digital Media)
2015-03-30 23:57:24 - Premium PR
2015-07-24 23:02:22 - Newsroom
2015-04-26 23:27:17 - Premium PR
2015-04-27 23:10:38 - Premium PR
2015-05-07 18:54:19 - Premium PR
2015-06-05 21:07:50 - Newsroom"
SAC,"Sacramento Dentistry Group",russ@gfxservices.com,http://sacramentodentistry.com/,"2016-03-10 23:01:15 - Premium with PR Newswire
2015-06-22 22:31:33 - Premium with PR Newswire
2015-08-20 21:18:50 - Premium with PR Newswire
2016-03-14 18:38:31 - Premium with PR Newswire
2015-08-11 19:36:25 - Premium with PR Newswire
2016-02-11 20:18:22 - Premium with PR Newswire
2015-11-04 22:23:24 - Premium with PR Newswire
2015-07-30 22:51:22 - Premium with PR Newswire
2016-04-05 15:49:31 - Premium with PR Newswire
2015-05-26 21:54:56 - Premium with PR Newswire
2015-07-03 23:09:01 - Premium with PR Newswire
2016-01-06 20:52:40 - Premium with PR Newswire
2015-08-31 21:05:55 - Premium with PR Newswire
2015-11-25 23:21:05 - Premium with PR Newswire
2016-05-05 17:20:43 - Premium with PR Newswire
2015-10-28 16:43:24 - Premium with PR Newswire
2016-04-25 22:28:46 - Premium with PR Newswire
2015-09-08 19:19:26 - Premium with PR Newswire
2015-09-24 16:08:47 - Premium with PR Newswire
2015-12-08 00:37:55 - Premium with PR Newswire
2015-10-05 23:52:59 - Premium with PR Newswire
2016-03-01 00:13:47 - Premium with PR Newswire
2016-01-28 21:50:11 - Premium with PR Newswire
2015-10-12 20:16:20 - Premium with PR Newswire
2015-07-22 18:11:44 - Premium with PR Newswire ($129)"
ORI,Orion,mgerster@creativelicenseintl.com,http://orion-inc.ca,"2015-04-29 22:22:47 - Premium PR
2016-01-18 21:35:02 - Custom Plan (CLi Digital Media)
2015-05-07 21:26:25 - Premium PR
2015-03-24 22:37:49 - Premium PR
2015-05-21 23:15:22 - Premium PR
2015-04-20 17:56:48 - Premium PR
2015-05-06 17:30:03 - Premium PR
2015-05-11 19:17:34 - Premium PR
2016-06-27 22:16:01 - Newsroom
2015-05-07 18:47:05 - Premium PR
2015-04-23 18:03:28 - Premium PR
2015-06-10 17:01:35 - Premium PR
2015-04-27 22:35:41 - Premium PR
2015-04-07 18:55:14 - Premium PR
2015-01-24 00:19:50 - Custom Plan (CLi Digital Media)
2015-03-30 23:57:24 - Premium PR
2015-07-24 23:02:22 - Newsroom
2015-04-26 23:27:17 - Premium PR
2015-04-27 23:10:38 - Premium PR
2015-05-07 18:54:19 - Premium PR
2015-06-05 21:07:50 - Newsroom"
Vital,"Vitality Consulting, Inc.",mgerster@creativelicenseintl.com,http://vitalityconsultinginc.com,"2015-04-29 22:22:47 - Premium PR
2016-01-18 21:35:02 - Custom Plan (CLi Digital Media)
2015-05-07 21:26:25 - Premium PR
2015-03-24 22:37:49 - Premium PR
2015-05-21 23:15:22 - Premium PR
2015-04-20 17:56:48 - Premium PR
2015-05-06 17:30:03 - Premium PR
2015-05-11 19:17:34 - Premium PR
2016-06-27 22:16:01 - Newsroom
2015-05-07 18:47:05 - Premium PR
2015-04-23 18:03:28 - Premium PR
2015-06-10 17:01:35 - Premium PR
2015-04-27 22:35:41 - Premium PR
2015-04-07 18:55:14 - Premium PR
2015-01-24 00:19:50 - Custom Plan (CLi Digital Media)
2015-03-30 23:57:24 - Premium PR
2015-07-24 23:02:22 - Newsroom
2015-04-26 23:27:17 - Premium PR
2015-04-27 23:10:38 - Premium PR
2015-05-07 18:54:19 - Premium PR
2015-06-05 21:07:50 - Newsroom"
"IdentiCom Sign Solutions","Identicom sign solutions",natalieb@identicomsigns.com,,"2015-08-25 18:51:25 - Premium with PR Newswire"
Purch,purchase@cazarin.com,purchase@cazarin.com,http://www.cazarin.com,"2016-01-25 17:44:09 - Premium with PR Newswire"
"Benzer Pharmacy","Benzer Pharmacy",emadegwa@benzerpharmacy.com,www.benzerpharmacy.com,"2015-12-23 20:00:47 - Premium PR
2016-06-15 14:16:04 - Premium PR
2015-12-21 18:40:27 - Premium PR
2015-12-10 18:47:48 - Premium PR
2016-06-15 13:55:03 - Premium PR
2016-02-29 21:46:06 - Premium PR
2016-06-09 17:56:08 - Premium PR
2016-03-08 19:06:23 - Premium with PR Newswire
2016-05-11 19:53:16 - Premium PR"
EcomNets,EcomNets,info@ecomnets.com,http://www.ecomnets.com,"2015-12-18 15:10:02 - Gold Plan (2015)
2015-10-19 15:10:02 - Gold Plan (2015)
2015-11-18 15:10:02 - Gold Plan (2015)
2015-08-21 15:29:22 - Premium with PR Newswire
2015-08-21 15:09:41 - Gold Plan (2015)
2015-09-19 15:10:02 - Gold Plan (2015)"
RealMatch,"RealMatch, Inc.",catkins@realmatch.com,http://www.realmatch.com,"2015-11-16 18:15:08 - Premium with PR Newswire
2015-10-21 22:56:45 - Premium with PR Newswire"
Ruckus,"Ruckus Pets",eloizy@plsconsultinginc.com,http://ruckuspets.com,"2015-03-13 15:32:28 - Press Release Revisions (5) [10% off]
2016-01-02 14:25:03 - Platinum Plan (2015)
2015-06-30 17:25:02 - Platinum Plan (2015)
2016-05-01 14:25:02 - Platinum Plan (2015)
2015-10-05 14:22:56 - Platinum Plan (2015)
2015-11-03 14:25:02 - Platinum Plan (2015)
2015-04-01 17:25:02 - Platinum Plan (2015)
2016-04-01 14:25:02 - Platinum Plan (2015)
2016-05-31 14:25:02 - Platinum Plan (2015)
2015-05-31 17:25:02 - Platinum Plan (2015)
2016-05-23 15:59:58 - First USA - 5 Newsroom Credits $260 ($52 per newsroom)
2015-12-03 14:25:02 - Platinum Plan (2015)
2016-03-02 14:25:02 - Platinum Plan (2015)
2016-02-01 14:25:02 - Platinum Plan (2015)
2015-05-01 17:30:02 - Platinum Plan (2015)
2016-06-30 14:25:02 - Platinum Plan (2015)
2015-07-30 17:25:03 - Platinum Plan (2015)
2015-03-03 17:20:48 - Platinum Plan (2015)"
Trace,"TraceMedia Marketing",chrisd@tracemedia.com,,"2015-02-12 01:55:10 - Premium PR"
"Hudson Fiber Network","Hudson Fiber Network",prproann@gmail.com,http://www.hudsonfiber.com,"2015-06-10 11:22:23 - Media Outreach Credit
2015-05-06 16:33:24 - Premium PR
2014-12-18 00:00:02 - Silver Plan (2015)
2015-07-16 00:00:02 - Silver Plan (2015)
2016-05-06 18:04:29 - Premium PR
2016-06-10 13:15:03 - Silver Plan (2015)
2015-04-30 13:52:17 - Premium PR
2016-02-11 00:00:02 - Silver Plan (2015)
2014-10-08 19:07:50 - Premium with PR Newswire
2016-03-30 13:32:47 - Media Outreach Credit
2016-03-29 16:05:15 - Premium with PR Newswire
2015-10-12 18:21:51 - Premium PR
2016-03-08 21:15:33 - Premium with PR Newswire
2016-03-08 21:15:33 - Media Outreach Credit
2015-11-13 00:00:02 - Silver Plan (2015)
2016-03-12 00:00:01 - Silver Plan (2015)
2015-10-26 14:22:53 - Premium PR
2015-03-13 14:39:14 - Premium with PR Newswire
2016-05-11 16:40:38 - Premium Plus
2015-04-20 15:47:09 - Premium with PR Newswire
2016-05-23 19:32:33 - Premium PR
2014-12-23 14:47:26 - Premium with PR Newswire
2015-06-16 00:00:02 - Silver Plan (2015)
2015-09-02 21:05:48 - Premium with PR Newswire
2014-09-19 00:00:02 - Silver Plan (2015)
2015-10-14 20:32:22 - Premium PR
2015-06-25 16:37:20 - Premium PR
2015-04-06 15:26:10 - Premium PR
2016-02-11 15:41:56 - Premium PR
2015-10-14 00:00:02 - Silver Plan (2015)
2016-02-08 19:48:59 - Premium PR
2015-12-13 00:05:02 - Silver Plan (2015)
2015-09-29 20:35:58 - Premium PR
2016-05-04 14:33:46 - Premium PR
2016-02-03 16:53:02 - Media Outreach Credit
2015-09-14 00:00:02 - Silver Plan (2015)
2015-01-17 00:00:02 - Silver Plan (2015)
2014-10-13 18:49:26 - Premium PR
2015-08-04 16:51:30 - Premium with PR Newswire
2015-03-09 17:39:27 - Premium with PR Newswire
2016-03-16 17:33:41 - Media Outreach Credit
2016-04-11 00:00:02 - Silver Plan (2015)
2015-04-13 18:44:15 - Premium with PR Newswire
2015-09-28 16:56:31 - Premium PR
2014-10-19 00:00:02 - Silver Plan (2015)
2016-05-11 00:00:02 - Silver Plan (2015)
2015-05-08 15:56:27 - Premium PR
2015-08-26 20:45:42 - Premium with PR Newswire
2016-01-12 00:05:02 - Silver Plan (2015)
2015-05-17 00:00:02 - Silver Plan (2015)
2015-02-16 00:00:02 - Silver Plan (2015)
2014-11-18 00:00:02 - Silver Plan (2015)
2016-03-16 17:54:38 - Media Outreach Credit
2014-08-05 13:21:16 - Premium PR
2015-06-25 17:45:21 - Premium PR
2014-12-08 16:17:07 - Premium with PR Newswire
2015-08-14 14:10:46 - Premium with PR Newswire
2015-02-02 16:48:36 - Premium with PR Newswire
2016-02-25 14:52:30 - Media Outreach Credit
2016-03-16 15:30:08 - Media Outreach Credit
2016-06-28 18:46:38 - Premium PR
2016-04-06 15:59:39 - Premium PR
2016-02-29 17:46:01 - Media Outreach Credit
2015-07-07 13:52:39 - Premium PR
2015-08-15 00:00:02 - Silver Plan (2015)
2015-03-18 00:00:02 - Silver Plan (2015)
2015-10-07 19:26:47 - Premium PR
2015-05-01 15:14:07 - Premium with PR Newswire
2015-04-17 00:00:03 - Silver Plan (2015)
2015-04-06 14:10:30 - Premium PR
2015-04-13 17:31:39 - Premium with PR Newswire"
"Solar Solution","Solar America Solutions",scott@redesignedmarketing.com,http://www.solaramericasolutions.com/,"2016-05-27 17:13:01 - Premium PR
2016-05-12 16:04:20 - Professional Plan
2016-06-10 16:05:02 - Professional Plan
2016-06-01 20:53:53 - Premium PR
2016-02-02 17:22:57 - Premium PR"
"IM Creative","IM Creative",chrisepperly@i-m-creative.com,http://www.i-m-creative.com,"2015-11-24 16:43:08 - Premium PR"
"101 Mobility","101 Mobility",bhavens@101mobility.com,http://101mobility.com,"2015-06-09 12:51:13 - 101 Mobility - Basic Press Release Credits (40)
2015-10-11 20:15:02 - Gold Plan (2015)
2015-05-15 20:14:39 - Gold Plan (2015)
2015-06-09 19:58:49 - Premium PR
2015-06-30 20:07:17 - Premium PR
2015-09-11 20:15:02 - Gold Plan (2015)
2015-06-13 20:15:02 - Gold Plan (2015)
2015-08-12 20:15:02 - Gold Plan (2015)
2015-12-10 20:15:03 - Gold Plan (2015)
2015-07-13 20:15:02 - Gold Plan (2015)
2015-12-11 14:02:03 - Silver Plan (2015)
2015-11-10 20:15:02 - Gold Plan (2015)"
CFM,"CFM Inc",slade@foodguys.com,,"2016-06-27 22:48:31 - Premium Plus
2016-06-27 23:02:12 - Microlist: Food Industry"
"B+T Group","Beautiful Planning Marketing Group",mtatum@beautifulplanning.com,http://www.beautifulplanning.com,"2015-09-20 16:30:28 - Premium PR"
"Supreme Lending","Supreme Lending",Athan.SarrisHaigh@SupremeLending.com,,"2016-04-12 18:10:04 - Premium PR"
eSchoolView,eSchoolView,ckelley@eschoolview.com,http://www.eschoolview.com/,"2015-12-16 14:15:02 - Gold Plan (12 Months) (2015)
2014-12-22 14:12:44 - Gold Plan (12 Months) (2015)
2014-12-11 16:09:47 - Premium with PR Newswire"
"MJ Freeway","MJ Freeway ",jasmine@mjfreeway.com,http://www.mjfreeway.com,"2016-03-21 23:35:27 - Premium with PR Newswire"
"Ivy Exec","Ivy Exec",Jennifer@ivyexec.com,,"2016-04-06 18:59:12 - Premium with PR Newswire"
Noble,"Noble Americas Energy Solutions",gmccutchan@noblesolutions.com,http://www.noblesolutions.com,"2016-03-21 16:54:14 - Premium Plus"
"Granbury Solutions","Granbury Wine Solutions",hfisher@granburyrs.com,,"2016-01-19 15:57:38 - Premium PR"
